,key,value
0,zh,中文
1,en,英语
2,fr,法语
3,ja,日语
4,ko,韩语
5,de,德语
6,es,西班牙语
7,sq,阿尔巴尼亚语
8,ar,阿拉伯语
9,am,阿姆哈拉语
10,acu,阿丘雅语
11,agr,阿瓜鲁纳语
12,ake,阿卡瓦伊语
13,amu,阿穆斯戈语
14,az,阿塞拜疆语
15,ga,爱尔兰语
16,et,爱沙尼亚语
17,ee,埃维语
18,ojb,奥吉布瓦语
19,om,奥罗莫语
20,or,奥利亚语
21,os,奥赛梯语
22,tpi,巴布亚皮钦语
23,bsn,巴拉萨纳语
24,ba,巴什基尔语
25,eu,巴斯克语
26,be,白俄罗斯语
27,mww,白苗文
28,ber,柏柏尔语
29,bg,保加利亚语
30,is,冰岛语
31,bi,比斯拉马语
32,bem,别姆巴语
33,pl,波兰语
34,bs,波斯尼亚语
35,fa,波斯语
36,pot,波塔瓦托米语
37,br,布列塔尼语
38,cha,查莫罗语
39,cv,楚瓦什语
40,tn,茨瓦纳语
41,ts,聪加语
42,tt,鞑靼语
43,da,丹麦语
44,de,德语
45,tet,德顿语
46,dv,迪维希语
47,dik,丁卡语
48,ru,俄语
49,djk,恩都卡语
50,fr,法语
51,fo,法罗语
52,fil,菲律宾语
53,fj,斐济语
54,fi,芬兰语
55,fy,弗里西语
56,km,高棉语
57,quw,盖丘亚语
58,kg,刚果语
59,jy,格鲁吉亚语
60,gu,古吉拉特语
61,ka,哈萨克语
62,kk,哈萨克语(西里尔)
63,ht,海地克里奥尔语
64,ko,韩语
65,ha,豪萨语
66,me,黑山语
67,ky,吉尔吉斯语
68,quc,基切语
69,gbi,加莱拉语
70,gl,加利西亚语
71,ca,加泰罗尼亚语
72,cs,捷克语
73,kn,卡纳达语
74,kek,凯克其语
75,cni,坎帕语
76,cop,科普特语
77,kbh,科奇语
78,co,科西嘉语
79,otq,克雷塔罗奥托米语
80,hr,克罗地亚语
81,ku,库尔德语
82,kab,卡拜尔语
83,cjp,卡韦卡尔语
84,cak,卡克奇克尔语
85,la,拉丁语
86,lv,拉脱维亚语
87,lo,老挝语
88,rn,隆迪语
89,lt,立陶宛语
90,ln,林加拉语
91,lg,卢干达语
92,dop,卢克帕语
93,lb,卢森堡语
94,rw,卢旺达语
95,ro,罗马尼亚语
96,rmn,罗姆语
97,mg,马尔加什语
98,mt,马耳他语
99,gv,马恩岛语
100,mr,马拉地语
101,ml,马拉雅拉姆语
102,ms,马来语
103,mhr,马里语
104,mam,马姆语
105,mk,马其顿语
106,mi,毛利语
107,mn,蒙古语(西里尔)
108,bn,孟加拉语
109,my,缅甸语
110,nhg,纳瓦特尔语
111,af,南非荷兰语
112,xh,南非科萨语
113,zu,南非祖鲁语
114,ne,尼泊尔语
115,nl,尼德兰语
116,no,挪威语
117,pap,帕皮阿门托语
118,pck,派特语
119,pa,旁遮普语
120,pt,葡萄牙语
121,ps,普什图语
122,ny,齐切瓦语
123,tw,契维语
124,chr,切诺基语
125,ja,日语
126,sv,瑞典语
127,sm,萨摩亚语
128,sr,塞尔维亚语
129,crs,塞舌尔克里奥尔语
130,st,塞索托语
131,sg,桑戈语
132,si,僧伽罗语
133,mrj,山地马里语
134,eo,世界语
135,jiv,舒阿尔语
136,sk,斯洛伐克语
137,sl,斯洛文尼亚语
138,sw,斯瓦希里语
139,gd,苏格兰盖尔语
140,so,索马里语
141,ceb,宿务语
142,tg,塔吉克语
143,ty,塔希提语
144,te,泰卢固语
145,ta,泰米尔语
146,th,泰语
147,to,汤加语
148,tig,提格雷语
149,tmh,图阿雷格语
150,tr,土耳其语
151,tk,土库曼语
152,chq,瓦哈卡语
153,wal,瓦拉莫语
154,war,瓦瑞语
155,uy,维吾尔语
156,cy,威尔士语
157,ve,文达语
158,wol,沃洛夫语
159,udm,乌德穆尔特语
160,ur,乌尔都语
161,uk,乌克兰语
162,uz,乌兹别克语
163,ppk,乌玛语
164,usp,乌斯潘坦语
165,es,西班牙语
166,he,希伯来语
167,shi,希尔哈语
168,el,希腊语
169,haw,夏威夷语
170,sd,信德语
171,hu,匈牙利语
172,sn,修纳语
173,syc,叙利亚语
174,hy,亚美尼亚语
175,jac,雅加达语
176,ace,亚齐语
177,ig,伊博语
178,it,意大利语
179,yi,意第绪语
180,hi,印地语
181,su,印尼巽他语
182,id,印尼语
183,jv,印尼爪哇语
184,en,英语
185,yua,尤卡坦玛雅语
186,yo,约鲁巴语
187,vi,越南语
188,yue,粤语
189,ti,藏语
190,dje,哲尔马语
191,zh,中文
192,cht,中文(繁体)
193,dz,宗喀语
